parameter file: page.parameters
trace file: ./trace/web_0.csv
-----------------------parameter file----------------------
#parameter file
#dram capacity = 131074;     #the unit is B
dram capacity = 0;
chip number[0] = 2;
chip number[1] = 2;
chip number[2] = 2;
chip number[3] = 2;
chip number[4] = 2;
chip number[5] = 2;
chip number[6] = 2;
chip number[7] = 2;
chip number[8] = 0;
chip number[9] = 0;
chip number[10] = 0;
chip number[11] = 0;
chip number[12] = 0;
chip number[13] = 0;
chip number[14] = 0;
chip number[15] = 0;
chip number[16] = 0;
chip number[17] = 0;
chip number[18] = 0;
channel number = 8;   #the number of channel
chip number = 16;
die number = 1;
plane number = 1;
block number = 512;
page number = 512;
subpage page = 16;
page capacity = 8192;
subpage capacity = 512;
t_PROG = 200000;             #the unit is ns  Program
t_PROG_L = 500000;           #program on LSB
t_PROG_C = 2000000
t_PROG_M = 5500000;           #program on MSB
turbo_mode = 0;
turbo_mode_factor = 34;
turbo_mode_factor_2 = 67;
fast_gc = 0;      #快速gc
fast_gc_thr_1 = 0.3;
fast_gc_filter_1 = 0.9;
fast_gc_thr_2 = 0.1;
fast_gc_filter_2 = 0.8;
fast_gc_filter_idle = 1.5;
dr_switch = 0;   #data reorganize
dr_cycle = 7;
#时间设置
t_DBSY = 50;
t_BERS = 15000000;            #Erase
t_CLS = 12;
t_CLH = 5;
t_CS = 20;
t_CH = 5;
t_WP = 12;
t_ALS = 12;
t_ALH = 5;
t_DS = 12;
t_DH = 5;
t_WC = 5;              #original value 25
t_WH = 10;
t_ADL = 70;
t_R = 75000;                     #Read
t_AR = 10;
t_CLR = 10;
t_RR = 20;
t_RP = 12;
t_WB = 100;
t_RC = 5;               #original value 25
t_REA = 30;
t_CEA = 45;
t_RHZ = 100;
t_CHZ = 30;
t_RHOH = 15;
t_RLOH = 5;
t_COH = 15;
t_REH = 10;
t_IR = 0;
t_RHW = 100;
t_WHR = 60;
t_RST = 5000;
erase limit=100000;                          #record the erasure number of block
flash operating current=25000.0;               #unit is uA
flash supply voltage=3.3;                    #voltage is 3.3V
dram active current=125000;                     #active current of DRAM，unit is uA
dram standby current=50000;                     #standby current of DRAM，unit is uA
dram refresh current=5000;                     #refresh current of DRAM，unit is uA
dram voltage=3.3;                      #working voltage of DRAM，unit is V    3.3V
address mapping=1;                    #mapping schemes，1：page；2：block；3：fast
wear leveling=1;                      #record WL algorithm mode
gc=1;                                 #record garbage collection mode
overprovide=0.15;                     #reserved area percentage, unavailable to users(op)
gc threshold=0.35;                    #GC operation begins when this threshold is reached.
buffer management=0;                  #record buffer scheme
scheduling algorithm=1;               #1:FCFS recordscheduling algorithm mode, 1 means FCFS
gc hard threshold=0.30;          #
allocation=1;                   #0 for dynamic allocation, 1 for static allocation
static_allocation=2;            #record static allocation mode like all static allocation modes0-6 in ICS2011 paper
dynamic_allocation=2;           #record dynamic allocation mode, 0 for all dynamic, 1 for fixed channel and dynamic package, die, plane
advanced command=0;             #advanced command indicator, 0 for no advanced command, bin number 00001 for random, 00010 for copyback, 00100 for two-plane-program, 01000 for interleave, 10000 for two-plane-read, 11111 for using all；
advanced command priority=0;    #0 for interleave is prior to two-plane, 1 for two-plane is prior to interleave
greed CB command=0;            #1 for using copyback command greedily, 0 for not
greed MPW command=0;            #1 for using multi-plane write greedily, 0 for not
aged=0;                         #1 for making SSD aged, 0 for keeping SSD non-aged
aged ratio=0.7;                #If we need to make SSD aged, set the aged ratio in advance

-----------------------simulation output----------------------
requests            time       gc_count          r_lat          w_lat          w_lsb          w_csb          w_msb           f_gc       mov_page      free_lsb     r_req_count    w_req_count    same_pages       req_lsb       req_csb       req_msb       w_req_count_l    same_pages_l       req_lsb_l       req_csb_l       req_msb_l
10000,      48665948014,             0,       2721066,       6662800,        321664,        321715,        319813,             0,             0,       1076437,           279,          9720,          5134,          1707,          3059,          4954,          6317,          1731,           555,          1928,          3834,       6956684
20000,      82300174319,             0,     638263400,     349169827,          8325,          8427,          8325,             0,             0,       1068112,          1972,          8028,          3864,          1273,          2224,          4531,          5332,          1168,           372,          1332,          3628,     331151326
30000,     101411209201,             0,     662690295,    1093690590,          4268,          4314,          4268,             0,             0,       1063844,          2070,          7930,          4863,          1592,          2543,          3795,          4287,          1220,           404,          1320,          2563,     865300671
40000,     113979420188,             0,       8974513,     232576904,          3459,          3503,          3460,             0,             0,       1060385,          6080,          3920,          1952,           662,          1110,          2148,          2597,           629,           207,           691,          1699,     261177795
50000,     132620841227,             0,      49510109,      32622294,          2686,          2716,          2687,             0,             0,       1057699,          5871,          4129,          2289,           738,          1355,          2036,          2564,           724,           237,           844,          1483,      27263784
60000,     134186200842,             0,     753091544,     737930587,           915,           927,           913,             0,             0,       1056784,          8576,          1424,           831,           264,           442,           718,           826,           233,            80,           253,           493,     804942905
70000,     134800261692,             0,    1123257103,    1450598530,           537,           544,           540,             0,             0,       1056247,          9310,           690,           403,           126,           231,           333,           423,           136,            43,           134,           246,    1491858521
80000,     137285621867,             0,    1557499018,    2119756023,           523,           527,           520,             0,             0,       1055724,          8939,          1061,           510,           171,           325,           565,           760,           209,            69,           224,           467,   -2068922927
90000,     139555702322,             0,    3602223792,    2971981204,            69,            72,            73,             0,             0,       1055655,          9874,           126,            81,            28,            34,            64,            66,            21,             7,            20,            39,   -1307191820
100000,     141348206757,             0,    4630016341,    4112221424,           874,           886,           870,             0,             0,       1054781,          8700,          1300,           852,           279,           422,           599,           635,           187,            61,           206,           368,     -34193860
110000,     178308078738,            62,    1105474872,     309826271,         11758,         11893,         11758,             0,         16751,       1049669,          1023,          8977,          4702,          1542,          2825,          4610,          5806,          1531,           514,          1760,          3532,     332867221
120000,     225581438853,           253,       5943699,     105965280,         28417,         28751,         28417,             0,         83288,       1037487,           313,          9687,          5158,          1724,          3023,          4940,          6205,          1676,           549,          1870,          3786,     123248565
130000,     251984786838,           363,       8367694,     116596378,         16629,         16825,         16629,             0,        122118,       1030208,          3873,          6127,          3305,          1086,          1920,          3121,          3819,           997,           327,          1175,          2317,     134769551
140000,     275502357400,           618,      56678753,     408775661,         41798,         42288,         41798,             0,        235556,       1010085,          4870,          5130,          2673,           887,          1595,          2648,          3321,           864,           272,           983,          2066,     467936013
150000,     302853524710,           724,    1268335386,     747933695,         24046,         24331,         24048,             0,        282627,        995049,          1874,          8126,          3402,          1150,          2077,          4899,          5777,          1053,           347,          1302,          4128,     904246692
160000,     348180113243,          1026,      54710942,     308474076,         52315,         52930,         52313,             0,        417831,        968404,           332,          9668,          5076,          1705,          2956,          5007,          6190,          1598,           511,          1830,          3849,     338537134
170000,     396674214972,          1542,       2504525,     565277340,         87200,         88228,         87204,             0,        660732,        925064,            21,          9979,          5020,          1682,          3018,          5279,          6610,          1651,           550,          1879,          4181,     663079592
180000,     446119978495,          1895,       3331542,     295798468,         62603,         63334,         62600,             0,        829458,        892466,           197,          9803,          5215,          1712,          3095,          4996,          6228,          1640,           556,          1886,          3786,     337966077
190000,     494328287473,          2230,       2229078,     270972366,         58249,         58938,         58250,             0,        986916,        862692,            63,          9937,          5274,          1719,          3172,          5046,          6415,          1752,           580,          1990,          3845,     301382743
200000,     533325056178,          2333,       4127002,     113112312,         21977,         22235,         21974,             0,       1034704,        849470,           474,          9526,          5140,          1722,          2990,          4814,          6071,          1685,           567,          1865,          3639,     134756909
210000,     574792578483,          2640,       5429646,     290985957,         52756,         53378,         52760,             0,       1174627,        822809,           902,          9098,          4920,          1636,          2841,          4621,          5832,          1654,           552,          1758,          3522,     325067777
220000,     607350336918,          2899,       7276930,     322069689,         45449,         45962,         45436,             0,       1295302,        799375,          1537,          8463,          4659,          1583,          2625,          4255,          5173,          1369,           474,          1526,          3173,     360705815
230000,     651538180607,          3364,       1963412,     443067736,         79873,         79999,         79465,             0,       1517075,        771755,           140,          9860,          5308,          1800,          3082,          4978,          6269,          1717,           556,          1907,          3806,     495229620
240000,     703322556254,          3907,       3285638,     445022541,         93683,         93675,         93130,             0,       1777739,        770925,            30,          9970,          5233,          1742,          3113,          5115,          6445,          1708,           565,          1958,          3922,     493010107
